店名,捷運線,捷運站,營業類型,是否連鎖,行政區,營業時間,電話,地址,官網
特濃屋,淡水信義線,雙連站,日本人來台開店,,中山,,,台北市中山區中山北路二段77巷22號,
誠屋拉麵-中山本店,淡水信義線,雙連站,日本店來台展店,Yes,中山,,,台北市中山區中山北路二段78號,
樂山娘札榥拉麵-中山北路店,淡水信義線,雙連站,台灣人開店,Yes,中山,,,台北市中山區中山北路二段93巷3號,
鰻味屋-中山店,淡水信義線,雙連站,台灣人開店,Yes,中山,,,台北市中山區中山北路二段77巷45號,
一個銅板拉麵,"淡水信義線,中和新蘆線",民權西路站,台灣人開店,,中山,,,台北市中山區天祥路61巷6號,
一騎拉麵-中山店,"淡水信義線,中和新蘆線",民權西路站,日本店來台展店,Yes,中山,,,台北市中山區中山北路二段180號,
小珍園拉麵,"淡水信義線,中和新蘆線",民權西路站,台灣人開店,,中山,,,台北市中山區撫順街10-1號,
博多拉麵-復興店,"淡水信義線,文湖線",大安站,台灣人開店,Yes,大安,,,台北市大安區復興南路一段253巷4號,
本味拉麵,"淡水信義線,松山新店線",中正紀念堂站,台灣人開店,,中正,,,台北市中正區南昌路一段76號,
京鶴拉麵屋,"淡水信義線,松山新店線",中正紀念堂站,台灣人開店,,中正,,,台北市中正區南昌路一段31巷11之4號,
桃屋日本料理,"淡水信義線,松山新店線",中正紀念堂站,台灣人開店,,中正,,,台北市中正區寧波西街62號,
Aburasoba Shin 油そば専門店,,,日本人來台開店,,大安,,,台北市大安區仁愛路四段228-6號,
Mister. Donut二代店-內湖門市,,,台灣人開店,Yes,內湖,,,台北市內湖區民善街88號,
Nagi豚王拉麵-天母店,,,日本店來台展店,Yes,士林,,,台北市士林區天母東路50巷10弄2號,
一品日式拉麵專門店-大潤發一館,,,台灣人開店,Yes,內湖,,,台北市內湖區舊宗路一段128號,
一品日式拉麵專門店-和平東店,,,台灣人開店,Yes,大安,,,台北市大安區和平東路二段118巷38號,
一風堂拉麵-中山店,,,日本店來台展店,Yes,中山,,,台北市中山區中山北路一段85號,
七味屋,,,台灣人開店,,士林,,,台北市士林區天母西路5巷8號,
九湯屋日式拉麵-士林二店,,,台灣人開店,Yes,士林,,,台北市士林區光華路26巷14號,
二子山拉麵部屋-1號館,,,台灣人開店,Yes,士林,,,台北市士林區天母東路8巷89號,
二子山拉麵部屋-2號館,,,台灣人開店,Yes,士林,,,台北市士林區中山北路六段738號,
三丸拉麵,,,台灣人開店,,士林,,,台北市士林區忠誠路二段55號B1,
三友拉麵-光北店,,,台灣人開店,Yes,松山,,,台北市松山區民生東路四段112巷1弄18號,
三友拉麵-南京店,,,台灣人開店,Yes,中山,,,台北市中山區南京東路一段140號,
大間拉麵,,,台灣人開店,,松山,,,台北市松山區三民路113巷6號,
六丁目拉麵,,,台灣人開店,,內湖,,,台北市內湖區民權東路六段215號,
太子拉麵,,,台灣人開店,Yes,文山,,,台北市文山區木新路三段139號,
札幌炎神拉麵-木柵店,,,日本店來台展店,Yes,文山,,,台北市文山區木新路三段165號,
伊太郎拉麵-京華城店,,,台灣人開店,Yes,松山,,,台北市松山區八德路四段138號B3,
伊太郎拉麵-新湖店,,,台灣人開店,Yes,內湖,,,台北市內湖區新湖二路68號,
吳留手雞濃熟白湯拉麵,,,台灣人開店,,中山,,,台北市中山區八德路二段279號,
赤坂拉麵-京華店,,,日本店來台展店,Yes,松山,,,台北市松山區八德路四段147號,
京の屋拉麵,,,台灣人開店,,士林,,,台北市士林區天母東路68號B館3F,
旺味麵場 田所商店-長安店,,,日本店來台展店,Yes,中山,,,台北市中山區長安東路二段40號,
美濃屋拉麵,,,台灣人開店,,中山,,,台北市中山區長安東路一段22-18號,
哲麵-林森店,,,日本店來台展店,Yes,中山,,,台北市中山區林森北路151號,
時時爐端燒,,,台灣人開店,,中山,,,台北市中山區林森北路107巷34號,
海力士日式料理-八德店,,,台灣人開店,Yes,松山,,,台北市松山區八德路三段88號,
海力士日式料理-北醫店,,,台灣人開店,Yes,信義,,,台北市信義區吳興街220巷23號,
御之饌日式料理-家樂福東興店,,,台灣人開店,Yes,信義,,,台北市信義區東興路45號,
御之饌日式料理-家樂福重北店,,,台灣人開店,Yes,大同,,,台北市大同區重慶北路二段171號,
御之饌日式料理-家樂福桂林店,,,台灣人開店,Yes,萬華,,,台北市萬華區桂林路1號4F,
博多拉麵-市民店,,,台灣人開店,Yes,大安,,,台北市大安區市民大道四段74號,
博多拉麵-微風店,,,台灣人開店,Yes,大安,,,台北市大安區市民大道四段34號,
新野豚骨拉麵定食專賣店,,,台灣人開店,,文山,,,台北市文山區忠順街一段84號,
壽賀喜屋-科教館店,,,日本店來台展店,Yes,大同,,02-28348610,台北市大同區士商路189號B1恐龍食堂,https://www.sugakiya.com.tw/
滿客屋拉麵(原 北投滿來溫泉拉麵),,,台灣人開店,Yes,北投,,,台北市北投區溫泉路110號,
福氣來和食-三總店,,,台灣人開店,Yes,內湖,,,台北市內湖區台北市內湖區成功路2段325號B1,
福氣拉麵,,,台灣人開店,,北投,,,台北市北投區光明路283號,
窩創作和食,,,台灣人開店,,士林,,,台北市士林區天母東路88號,
魁拉麵,,,台灣人開店,,南港,,,台北市南港區南港路一段191號,
橫濱家系拉麵大和家,,,日本店來台展店,,大安,,,台北市大安區市民大道四段12號,
麵太郎居酒屋-林森店,,,台灣人開店,Yes,中山,,,台北市中山區林森北路126號,
麵屋阿部(原 麵屋翔太-木柵店),,,台灣人開店,Yes,文山,,,台北市文山區木柵路一段120號,
麵屋緣enishi,,,日本店來台展店,,大安,,,台北市大安區敦化南路二段81巷45弄12號,
鷹流東京醬油拉麵 蘭丸,,,日本店來台展店,Yes,松山,,,台北市松山區延吉街2號,
